id,title,vulnerability_type,category,context,description,impact,recommended_mitigation
223,Improper Input Validation in legacy SOAP bridge,Improper Input Validation,Input Validation,legacy SOAP bridge,The legacy SOAP bridge undermines integrity of transactions because of improper input validation vulnerabilities.,undermines integrity of transactions,"Implement robust input validation controls, validate inputs, and apply defense-in-depth to mitigate improper input validation in the legacy SOAP bridge."
224,Improper Output Encoding in search endpoint,Improper Output Encoding,XSS,search endpoint,The search endpoint enables lateral movement because of improper output encoding vulnerabilities.,enables lateral movement,"Implement robust xss controls, validate inputs, and apply defense-in-depth to mitigate improper output encoding in the search endpoint."
225,Weak Password Policy in analytics webhook,Weak Password Policy,Authentication,analytics webhook,The analytics webhook reveals sensitive personal data because of weak password policy vulnerabilities.,reveals sensitive personal data,"Implement robust authentication controls, validate inputs, and apply defense-in-depth to mitigate weak password policy in the analytics webhook."
226,Sensitive Data Exposure in session management,Sensitive Data Exposure,Cryptography,session management,The session management disrupts availability because of sensitive data exposure vulnerabilities.,disrupts availability,"Implement robust cryptography controls, validate inputs, and apply defense-in-depth to mitigate sensitive data exposure in the session management."
227,Hardcoded Secrets in search autocomplete,Hardcoded Secrets,Secrets Management,search autocomplete,The search autocomplete leads to data tampering because of hardcoded secrets vulnerabilities.,leads to data tampering,"Implement robust secrets management controls, validate inputs, and apply defense-in-depth to mitigate hardcoded secrets in the search autocomplete."
228,Weak TLS Configuration in api key management,Weak TLS Configuration,Transport Security,api key management,The api key management enables remote code execution because of weak tls configuration vulnerabilities.,enables remote code execution,"Implement robust transport security controls, validate inputs, and apply defense-in-depth to mitigate weak tls configuration in the api key management."
229,Missing Rate Limiting in log streaming,Missing Rate Limiting,Denial of Service,log streaming,The log streaming allows account takeover because of missing rate limiting vulnerabilities.,allows account takeover,"Implement robust denial of service controls, validate inputs, and apply defense-in-depth to mitigate missing rate limiting in the log streaming."
230,Clickjacking in user profile,Clickjacking,UI Redress,user profile,The user profile exposes session tokens because of clickjacking vulnerabilities.,exposes session tokens,"Implement robust ui redress controls, validate inputs, and apply defense-in-depth to mitigate clickjacking in the user profile."
231,Cache Poisoning in GraphQL endpoint,Cache Poisoning,Caching,GraphQL endpoint,The GraphQL endpoint allows attacker to extract credentials because of cache poisoning vulnerabilities.,allows attacker to extract credentials,"Implement robust caching controls, validate inputs, and apply defense-in-depth to mitigate cache poisoning in the GraphQL endpoint."
232,Business Logic Flaw in notification center,Business Logic Flaw,Business Logic,notification center,The notification center permits privilege escalation because of business logic flaw vulnerabilities.,permits privilege escalation,"Implement robust business logic controls, validate inputs, and apply defense-in-depth to mitigate business logic flaw in the notification center."
233,Improper Asset Management in inventory management,Improper Asset Management,Configuration,inventory management,The inventory management undermines integrity of transactions because of improper asset management vulnerabilities.,undermines integrity of transactions,"Implement robust configuration controls, validate inputs, and apply defense-in-depth to mitigate improper asset management in the inventory management."
234,Improper Session Timeout in microservice gateway,Improper Session Timeout,Session Management,microservice gateway,The microservice gateway enables lateral movement because of improper session timeout vulnerabilities.,enables lateral movement,"Implement robust session management controls, validate inputs, and apply defense-in-depth to mitigate improper session timeout in the microservice gateway."
235,Information Disclosure in admin report builder,Information Disclosure,Information Leakage,admin report builder,The admin report builder reveals sensitive personal data because of information disclosure vulnerabilities.,reveals sensitive personal data,"Implement robust information leakage controls, validate inputs, and apply defense-in-depth to mitigate information disclosure in the admin report builder."
236,Mixed Content in password reset flow,Mixed Content,Transport Security,password reset flow,The password reset flow disrupts availability because of mixed content vulnerabilities.,disrupts availability,"Implement robust transport security controls, validate inputs, and apply defense-in-depth to mitigate mixed content in the password reset flow."
237,CORS Misconfiguration in websocket chat,CORS Misconfiguration,Configuration,websocket chat,The websocket chat leads to data tampering because of cors misconfiguration vulnerabilities.,leads to data tampering,"Implement robust configuration controls, validate inputs, and apply defense-in-depth to mitigate cors misconfiguration in the websocket chat."
238,Weak CSRF Token in comment system,Weak CSRF Token,CSRF,comment system,The comment system enables remote code execution because of weak csrf token vulnerabilities.,enables remote code execution,"Implement robust csrf controls, validate inputs, and apply defense-in-depth to mitigate weak csrf token in the comment system."
239,Prototype Pollution in analytics dashboard,Prototype Pollution,Injection,analytics dashboard,The analytics dashboard allows account takeover because of prototype pollution vulnerabilities.,allows account takeover,"Implement robust injection controls, validate inputs, and apply defense-in-depth to mitigate prototype pollution in the analytics dashboard."
240,Email Enumeration in customer data lake,Email Enumeration,Information Leakage,customer data lake,The customer data lake exposes session tokens because of email enumeration vulnerabilities.,exposes session tokens,"Implement robust information leakage controls, validate inputs, and apply defense-in-depth to mitigate email enumeration in the customer data lake."
241,Account Lockout Bypass in login form,Account Lockout Bypass,Authentication,login form,The login form allows attacker to extract credentials because of account lockout bypass vulnerabilities.,allows attacker to extract credentials,"Implement robust authentication controls, validate inputs, and apply defense-in-depth to mitigate account lockout bypass in the login form."
242,File Upload Validation in support ticket API,File Upload Validation,Input Validation,support ticket API,The support ticket API permits privilege escalation because of file upload validation vulnerabilities.,permits privilege escalation,"Implement robust input validation controls, validate inputs, and apply defense-in-depth to mitigate file upload validation in the support ticket API."
243,Password Reset Poisoning in payment callback,Password Reset Poisoning,Authentication,payment callback,The payment callback undermines integrity of transactions because of password reset poisoning vulnerabilities.,undermines integrity of transactions,"Implement robust authentication controls, validate inputs, and apply defense-in-depth to mitigate password reset poisoning in the payment callback."
244,Third-Party Script Hijack in image processing,Third-Party Script Hijack,Supply Chain,image processing,The image processing enables lateral movement because of third-party script hijack vulnerabilities.,enables lateral movement,"Implement robust supply chain controls, validate inputs, and apply defense-in-depth to mitigate third-party script hijack in the image processing."
245,WebSocket Injection in settings page,WebSocket Injection,Injection,settings page,The settings page reveals sensitive personal data because of websocket injection vulnerabilities.,reveals sensitive personal data,"Implement robust injection controls, validate inputs, and apply defense-in-depth to mitigate websocket injection in the settings page."
246,OAuth Misconfiguration in internationalization service,OAuth Misconfiguration,Authentication,internationalization service,The internationalization service disrupts availability because of oauth misconfiguration vulnerabilities.,disrupts availability,"Implement robust authentication controls, validate inputs, and apply defense-in-depth to mitigate oauth misconfiguration in the internationalization service."
247,JWT None Algorithm in shopping cart,JWT None Algorithm,Authentication,shopping cart,The shopping cart leads to data tampering because of jwt none algorithm vulnerabilities.,leads to data tampering,"Implement robust authentication controls, validate inputs, and apply defense-in-depth to mitigate jwt none algorithm in the shopping cart."
248,Password Spraying in mobile API gateway,Password Spraying,Authentication,mobile API gateway,The mobile API gateway enables remote code execution because of password spraying vulnerabilities.,enables remote code execution,"Implement robust authentication controls, validate inputs, and apply defense-in-depth to mitigate password spraying in the mobile API gateway."
249,Improper Error Handling in report export,Improper Error Handling,Information Leakage,report export,The report export allows account takeover because of improper error handling vulnerabilities.,allows account takeover,"Implement robust information leakage controls, validate inputs, and apply defense-in-depth to mitigate improper error handling in the report export."
250,Server Misconfiguration in order tracking,Server Misconfiguration,Configuration,order tracking,The order tracking exposes session tokens because of server misconfiguration vulnerabilities.,exposes session tokens,"Implement robust configuration controls, validate inputs, and apply defense-in-depth to mitigate server misconfiguration in the order tracking."
251,SQL Injection in two-factor flow,SQL Injection,Injection,two-factor flow,The two-factor flow allows attacker to extract credentials because of sql injection vulnerabilities.,allows attacker to extract credentials,"Implement robust injection controls, validate inputs, and apply defense-in-depth to mitigate sql injection in the two-factor flow."
252,Cross-Site Scripting in alert subscription,Cross-Site Scripting,XSS,alert subscription,The alert subscription permits privilege escalation because of cross-site scripting vulnerabilities.,permits privilege escalation,"Implement robust xss controls, validate inputs, and apply defense-in-depth to mitigate cross-site scripting in the alert subscription."
253,Cross-Site Request Forgery in admin dashboard,Cross-Site Request Forgery,CSRF,admin dashboard,The admin dashboard undermines integrity of transactions because of cross-site request forgery vulnerabilities.,undermines integrity of transactions,"Implement robust csrf controls, validate inputs, and apply defense-in-depth to mitigate cross-site request forgery in the admin dashboard."
254,Command Injection in file upload service,Command Injection,Injection,file upload service,The file upload service enables lateral movement because of command injection vulnerabilities.,enables lateral movement,"Implement robust injection controls, validate inputs, and apply defense-in-depth to mitigate command injection in the file upload service."
255,Server-Side Request Forgery in user registration,Server-Side Request Forgery,SSRF,user registration,The user registration reveals sensitive personal data because of server-side request forgery vulnerabilities.,reveals sensitive personal data,"Implement robust ssrf controls, validate inputs, and apply defense-in-depth to mitigate server-side request forgery in the user registration."
256,Insecure Direct Object Reference in partner integration,Insecure Direct Object Reference,Broken Access Control,partner integration,The partner integration disrupts availability because of insecure direct object reference vulnerabilities.,disrupts availability,"Implement robust broken access control controls, validate inputs, and apply defense-in-depth to mitigate insecure direct object reference in the partner integration."
257,Directory Traversal in beta feature toggle,Directory Traversal,Path Traversal,beta feature toggle,The beta feature toggle leads to data tampering because of directory traversal vulnerabilities.,leads to data tampering,"Implement robust path traversal controls, validate inputs, and apply defense-in-depth to mitigate directory traversal in the beta feature toggle."
258,XML External Entity in invoice generator,XML External Entity,XXE,invoice generator,The invoice generator enables remote code execution because of xml external entity vulnerabilities.,enables remote code execution,"Implement robust xxe controls, validate inputs, and apply defense-in-depth to mitigate xml external entity in the invoice generator."
259,Open Redirect in contact form,Open Redirect,Injection,contact form,The contact form allows account takeover because of open redirect vulnerabilities.,allows account takeover,"Implement robust injection controls, validate inputs, and apply defense-in-depth to mitigate open redirect in the contact form."
260,Authentication Bypass in email subscription,Authentication Bypass,Broken Access Control,email subscription,The email subscription exposes session tokens because of authentication bypass vulnerabilities.,exposes session tokens,"Implement robust broken access control controls, validate inputs, and apply defense-in-depth to mitigate authentication bypass in the email subscription."
261,Session Fixation in blog editor,Session Fixation,Session Management,blog editor,The blog editor allows attacker to extract credentials because of session fixation vulnerabilities.,allows attacker to extract credentials,"Implement robust session management controls, validate inputs, and apply defense-in-depth to mitigate session fixation in the blog editor."
262,Insufficient Logging in feature flag service,Insufficient Logging,Security Monitoring,feature flag service,The feature flag service permits privilege escalation because of insufficient logging vulnerabilities.,permits privilege escalation,"Implement robust security monitoring controls, validate inputs, and apply defense-in-depth to mitigate insufficient logging in the feature flag service."
263,Unvalidated Redirect in legacy SOAP bridge,Unvalidated Redirect,Injection,legacy SOAP bridge,The legacy SOAP bridge undermines integrity of transactions because of unvalidated redirect vulnerabilities.,undermines integrity of transactions,"Implement robust injection controls, validate inputs, and apply defense-in-depth to mitigate unvalidated redirect in the legacy SOAP bridge."
264,Insecure Deserialization in search endpoint,Insecure Deserialization,Deserialization,search endpoint,The search endpoint enables lateral movement because of insecure deserialization vulnerabilities.,enables lateral movement,"Implement robust deserialization controls, validate inputs, and apply defense-in-depth to mitigate insecure deserialization in the search endpoint."
265,Race Condition in analytics webhook,Race Condition,Concurrency,analytics webhook,The analytics webhook reveals sensitive personal data because of race condition vulnerabilities.,reveals sensitive personal data,"Implement robust concurrency controls, validate inputs, and apply defense-in-depth to mitigate race condition in the analytics webhook."
266,Privilege Escalation in session management,Privilege Escalation,Broken Access Control,session management,The session management disrupts availability because of privilege escalation vulnerabilities.,disrupts availability,"Implement robust broken access control controls, validate inputs, and apply defense-in-depth to mitigate privilege escalation in the session management."
267,Credential Stuffing in search autocomplete,Credential Stuffing,Authentication,search autocomplete,The search autocomplete leads to data tampering because of credential stuffing vulnerabilities.,leads to data tampering,"Implement robust authentication controls, validate inputs, and apply defense-in-depth to mitigate credential stuffing in the search autocomplete."
268,JWT Validation Bypass in api key management,JWT Validation Bypass,Authentication,api key management,The api key management enables remote code execution because of jwt validation bypass vulnerabilities.,enables remote code execution,"Implement robust authentication controls, validate inputs, and apply defense-in-depth to mitigate jwt validation bypass in the api key management."
269,GraphQL Authorization Flaw in log streaming,GraphQL Authorization Flaw,Broken Access Control,log streaming,The log streaming allows account takeover because of graphql authorization flaw vulnerabilities.,allows account takeover,"Implement robust broken access control controls, validate inputs, and apply defense-in-depth to mitigate graphql authorization flaw in the log streaming."
270,Template Injection in user profile,Template Injection,Injection,user profile,The user profile exposes session tokens because of template injection vulnerabilities.,exposes session tokens,"Implement robust injection controls, validate inputs, and apply defense-in-depth to mitigate template injection in the user profile."
271,NoSQL Injection in GraphQL endpoint,NoSQL Injection,Injection,GraphQL endpoint,The GraphQL endpoint allows attacker to extract credentials because of nosql injection vulnerabilities.,allows attacker to extract credentials,"Implement robust injection controls, validate inputs, and apply defense-in-depth to mitigate nosql injection in the GraphQL endpoint."
272,Mass Assignment in notification center,Mass Assignment,Broken Access Control,notification center,The notification center permits privilege escalation because of mass assignment vulnerabilities.,permits privilege escalation,"Implement robust broken access control controls, validate inputs, and apply defense-in-depth to mitigate mass assignment in the notification center."
273,Improper Input Validation in inventory management,Improper Input Validation,Input Validation,inventory management,The inventory management undermines integrity of transactions because of improper input validation vulnerabilities.,undermines integrity of transactions,"Implement robust input validation controls, validate inputs, and apply defense-in-depth to mitigate improper input validation in the inventory management."
274,Improper Output Encoding in microservice gateway,Improper Output Encoding,XSS,microservice gateway,The microservice gateway enables lateral movement because of improper output encoding vulnerabilities.,enables lateral movement,"Implement robust xss controls, validate inputs, and apply defense-in-depth to mitigate improper output encoding in the microservice gateway."
275,Weak Password Policy in admin report builder,Weak Password Policy,Authentication,admin report builder,The admin report builder reveals sensitive personal data because of weak password policy vulnerabilities.,reveals sensitive personal data,"Implement robust authentication controls, validate inputs, and apply defense-in-depth to mitigate weak password policy in the admin report builder."
276,Sensitive Data Exposure in password reset flow,Sensitive Data Exposure,Cryptography,password reset flow,The password reset flow disrupts availability because of sensitive data exposure vulnerabilities.,disrupts availability,"Implement robust cryptography controls, validate inputs, and apply defense-in-depth to mitigate sensitive data exposure in the password reset flow."
277,Hardcoded Secrets in websocket chat,Hardcoded Secrets,Secrets Management,websocket chat,The websocket chat leads to data tampering because of hardcoded secrets vulnerabilities.,leads to data tampering,"Implement robust secrets management controls, validate inputs, and apply defense-in-depth to mitigate hardcoded secrets in the websocket chat."
278,Weak TLS Configuration in comment system,Weak TLS Configuration,Transport Security,comment system,The comment system enables remote code execution because of weak tls configuration vulnerabilities.,enables remote code execution,"Implement robust transport security controls, validate inputs, and apply defense-in-depth to mitigate weak tls configuration in the comment system."
279,Missing Rate Limiting in analytics dashboard,Missing Rate Limiting,Denial of Service,analytics dashboard,The analytics dashboard allows account takeover because of missing rate limiting vulnerabilities.,allows account takeover,"Implement robust denial of service controls, validate inputs, and apply defense-in-depth to mitigate missing rate limiting in the analytics dashboard."
280,Clickjacking in customer data lake,Clickjacking,UI Redress,customer data lake,The customer data lake exposes session tokens because of clickjacking vulnerabilities.,exposes session tokens,"Implement robust ui redress controls, validate inputs, and apply defense-in-depth to mitigate clickjacking in the customer data lake."
281,Cache Poisoning in login form,Cache Poisoning,Caching,login form,The login form allows attacker to extract credentials because of cache poisoning vulnerabilities.,allows attacker to extract credentials,"Implement robust caching controls, validate inputs, and apply defense-in-depth to mitigate cache poisoning in the login form."
282,Business Logic Flaw in support ticket API,Business Logic Flaw,Business Logic,support ticket API,The support ticket API permits privilege escalation because of business logic flaw vulnerabilities.,permits privilege escalation,"Implement robust business logic controls, validate inputs, and apply defense-in-depth to mitigate business logic flaw in the support ticket API."
283,Improper Asset Management in payment callback,Improper Asset Management,Configuration,payment callback,The payment callback undermines integrity of transactions because of improper asset management vulnerabilities.,undermines integrity of transactions,"Implement robust configuration controls, validate inputs, and apply defense-in-depth to mitigate improper asset management in the payment callback."
284,Improper Session Timeout in image processing,Improper Session Timeout,Session Management,image processing,The image processing enables lateral movement because of improper session timeout vulnerabilities.,enables lateral movement,"Implement robust session management controls, validate inputs, and apply defense-in-depth to mitigate improper session timeout in the image processing."
285,Information Disclosure in settings page,Information Disclosure,Information Leakage,settings page,The settings page reveals sensitive personal data because of information disclosure vulnerabilities.,reveals sensitive personal data,"Implement robust information leakage controls, validate inputs, and apply defense-in-depth to mitigate information disclosure in the settings page."
286,Mixed Content in internationalization service,Mixed Content,Transport Security,internationalization service,The internationalization service disrupts availability because of mixed content vulnerabilities.,disrupts availability,"Implement robust transport security controls, validate inputs, and apply defense-in-depth to mitigate mixed content in the internationalization service."
287,CORS Misconfiguration in shopping cart,CORS Misconfiguration,Configuration,shopping cart,The shopping cart leads to data tampering because of cors misconfiguration vulnerabilities.,leads to data tampering,"Implement robust configuration controls, validate inputs, and apply defense-in-depth to mitigate cors misconfiguration in the shopping cart."
288,Weak CSRF Token in mobile API gateway,Weak CSRF Token,CSRF,mobile API gateway,The mobile API gateway enables remote code execution because of weak csrf token vulnerabilities.,enables remote code execution,"Implement robust csrf controls, validate inputs, and apply defense-in-depth to mitigate weak csrf token in the mobile API gateway."
289,Prototype Pollution in report export,Prototype Pollution,Injection,report export,The report export allows account takeover because of prototype pollution vulnerabilities.,allows account takeover,"Implement robust injection controls, validate inputs, and apply defense-in-depth to mitigate prototype pollution in the report export."
290,Email Enumeration in order tracking,Email Enumeration,Information Leakage,order tracking,The order tracking exposes session tokens because of email enumeration vulnerabilities.,exposes session tokens,"Implement robust information leakage controls, validate inputs, and apply defense-in-depth to mitigate email enumeration in the order tracking."
291,Account Lockout Bypass in two-factor flow,Account Lockout Bypass,Authentication,two-factor flow,The two-factor flow allows attacker to extract credentials because of account lockout bypass vulnerabilities.,allows attacker to extract credentials,"Implement robust authentication controls, validate inputs, and apply defense-in-depth to mitigate account lockout bypass in the two-factor flow."
292,File Upload Validation in alert subscription,File Upload Validation,Input Validation,alert subscription,The alert subscription permits privilege escalation because of file upload validation vulnerabilities.,permits privilege escalation,"Implement robust input validation controls, validate inputs, and apply defense-in-depth to mitigate file upload validation in the alert subscription."
293,Password Reset Poisoning in admin dashboard,Password Reset Poisoning,Authentication,admin dashboard,The admin dashboard undermines integrity of transactions because of password reset poisoning vulnerabilities.,undermines integrity of transactions,"Implement robust authentication controls, validate inputs, and apply defense-in-depth to mitigate password reset poisoning in the admin dashboard."
294,Third-Party Script Hijack in file upload service,Third-Party Script Hijack,Supply Chain,file upload service,The file upload service enables lateral movement because of third-party script hijack vulnerabilities.,enables lateral movement,"Implement robust supply chain controls, validate inputs, and apply defense-in-depth to mitigate third-party script hijack in the file upload service."
295,WebSocket Injection in user registration,WebSocket Injection,Injection,user registration,The user registration reveals sensitive personal data because of websocket injection vulnerabilities.,reveals sensitive personal data,"Implement robust injection controls, validate inputs, and apply defense-in-depth to mitigate websocket injection in the user registration."
296,OAuth Misconfiguration in partner integration,OAuth Misconfiguration,Authentication,partner integration,The partner integration disrupts availability because of oauth misconfiguration vulnerabilities.,disrupts availability,"Implement robust authentication controls, validate inputs, and apply defense-in-depth to mitigate oauth misconfiguration in the partner integration."
297,JWT None Algorithm in beta feature toggle,JWT None Algorithm,Authentication,beta feature toggle,The beta feature toggle leads to data tampering because of jwt none algorithm vulnerabilities.,leads to data tampering,"Implement robust authentication controls, validate inputs, and apply defense-in-depth to mitigate jwt none algorithm in the beta feature toggle."
298,Password Spraying in invoice generator,Password Spraying,Authentication,invoice generator,The invoice generator enables remote code execution because of password spraying vulnerabilities.,enables remote code execution,"Implement robust authentication controls, validate inputs, and apply defense-in-depth to mitigate password spraying in the invoice generator."
299,Improper Error Handling in contact form,Improper Error Handling,Information Leakage,contact form,The contact form allows account takeover because of improper error handling vulnerabilities.,allows account takeover,"Implement robust information leakage controls, validate inputs, and apply defense-in-depth to mitigate improper error handling in the contact form."
300,Server Misconfiguration in email subscription,Server Misconfiguration,Configuration,email subscription,The email subscription exposes session tokens because of server misconfiguration vulnerabilities.,exposes session tokens,"Implement robust configuration controls, validate inputs, and apply defense-in-depth to mitigate server misconfiguration in the email subscription."
